business_name,categories,rating,address,price_range,url
Cafeteria & Company,"Coffee & Tea,Sandwiches,Cafes",3.5,208 W Main St ,,https://www.yelp.com/biz/cafeteria-and-company-urbana?osq=Restaurants
Caffe Paradiso,"Coffee & Tea,Sandwiches,Shaved Ice",3.5,801 S Lincoln Ave ,$,https://www.yelp.com/biz/caffe-paradiso-urbana?osq=Restaurants
Caffebene,"Cafes,Coffee & Tea,Desserts",3,700 S Gregory St ,$$,https://www.yelp.com/biz/caffebene-urbana-2?osq=Restaurants
Campus Burger,"American (Traditional),Burgers",2.5,2000 N Neil St ,,https://www.yelp.com/biz/campus-burger-champaign?osq=Restaurants
Caribbean Grill Food Truck,"Caribbean,Food Trucks,Desserts",4.5, ,$,https://www.yelp.com/biz/caribbean-grill-food-truck-urbana?osq=Restaurants
Caribbean Grill Restaurant,"Caribbean,Desserts",4.5,2135 S Neil St ,$,https://www.yelp.com/biz/caribbean-grill-restaurant-champaign?osq=Restaurants
Casa Del Mar,"Seafood,Mexican",4,2870 S Philo Rd ,,https://www.yelp.com/biz/casa-del-mar-urbana?osq=Restaurants
Casey's Carry Out Pizza,Pizza,2.5,102 S Prairie View Rd ,$,https://www.yelp.com/biz/caseys-carry-out-pizza-mahomet?osq=Restaurants
Casey's Carry Out Pizza,Pizza,2.5,2100 E University Ave ,$,https://www.yelp.com/biz/caseys-carry-out-pizza-urbana?osq=Restaurants
Casey's Carry Out Pizza,Pizza,0,408 N Lincoln St ,,https://www.yelp.com/biz/caseys-carry-out-pizza-philo?osq=Restaurants
Casey's Carry Out Pizza,Pizza,0,502 W Main St ,,https://www.yelp.com/biz/caseys-carry-out-pizza-sidney?osq=Restaurants
Casey's Carry Out Pizza,Pizza,0,510 N Long St ,,https://www.yelp.com/biz/caseys-carry-out-pizza-tolono?osq=Restaurants
Casey's General Store,"Convenience Stores,Pizza,Gas Stations",5,500 W Central Ave ,$,https://www.yelp.com/biz/caseys-general-store-thomasboro?osq=Restaurants
Cazuela de Mariscos,"Mexican,Seafood Markets",0,510 N Cunningham Ave ,,https://www.yelp.com/biz/cazuela-de-mariscos-urbana?osq=Restaurants
Cheese and Crackers,"Chocolatiers & Shops,Delis,Seafood Markets",4,1715 W Kirby ,$$,https://www.yelp.com/biz/cheese-and-crackers-champaign?osq=Restaurants
Chester's BBQ,"Food Trucks,Barbeque",4,302 S Neil St ,$$,https://www.yelp.com/biz/chesters-bbq-champaign?osq=Restaurants
Chick-fil-A - Opening soon,Fast Food,3,2301 N Prospect Ave ,,https://www.yelp.com/biz/chick-fil-a-opening-soon-champaign?osq=Restaurants
Chili's,"American (Traditional),Bars,Tex-Mex",3,1905 N Prospect Ave ,$$,https://www.yelp.com/biz/chilis-champaign-3?osq=Restaurants
China Garden,Chinese,3.5,114 N Vine St ,$,https://www.yelp.com/biz/china-garden-urbana?osq=Restaurants
China Garden Restaurant,Chinese,0,1703 Philo Rd ,,https://www.yelp.com/biz/china-garden-restaurant-urbana?osq=Restaurants
China King,Chinese,2.5,2145 S Neil St ,$,https://www.yelp.com/biz/china-king-champaign?osq=Restaurants
ChinaTown Buffet,"Chinese,Buffets,Sushi Bars",2.5,713 W Marketview Dr ,$$,https://www.yelp.com/biz/chinatown-buffet-champaign?osq=Restaurants
Chipotle Mexican Grill,"Mexican,Fast Food",3,528 E Green St ,$,https://www.yelp.com/biz/chipotle-mexican-grill-champaign?osq=Restaurants
Chipotle Mexican Grill,"Mexican,Fast Food",3,903 W Anthony Dr ,$,https://www.yelp.com/biz/chipotle-mexican-grill-champaign-3?osq=Restaurants
Chopstix,Chinese,3,202 E Green St ,$,https://www.yelp.com/biz/chopstix-champaign-2?osq=Restaurants
Clever Moose Market Café,Cafes,3,1807 S Neil St ,,https://www.yelp.com/biz/clever-moose-market-caf%C3%A9-champaign-3?osq=Restaurants
Coleslaw,Restaurants,0,503 N Walnut St ,,https://www.yelp.com/biz/coleslaw-champaign?osq=Restaurants
Come Get This,"Food Trucks,Burgers,Hot Dogs",0, ,,https://www.yelp.com/biz/come-get-this-champaign?osq=Restaurants
CoreLife Eatery,"Salad,Mediterranean,Poke",4,2512 N Prospect Ave ,$,https://www.yelp.com/biz/corelife-eatery-champaign?osq=Restaurants
Courier Cafe,"Breakfast & Brunch,Cafes,Burgers",4,111 N Race St ,$,https://www.yelp.com/biz/courier-cafe-urbana?osq=Restaurants
Cracked on Green,"Coffee & Tea,Breakfast & Brunch,Food Trucks",4,619 E Green St ,$,https://www.yelp.com/biz/cracked-on-green-champaign?osq=Restaurants
Cracker Barrel Old Country Store,"Breakfast & Brunch,American (Traditional),Salad",3.5,2101 N Kenyon Rd ,$,https://www.yelp.com/biz/cracker-barrel-old-country-store-urbana?osq=Restaurants
Crane Alley,"Bars,American (Traditional)",3.5,115 W Main St ,$$,https://www.yelp.com/biz/crane-alley-urbana?osq=Restaurants
Cravings,"Chinese,Pan Asian",4,603 S Wright St ,$,https://www.yelp.com/biz/cravings-champaign-2?osq=Restaurants
C-U LaLa Noodle,"Noodles,Chinese",1.5,410 E Green St ,,https://www.yelp.com/biz/c-u-lala-noodle-champaign?osq=Restaurants
Culver's,"Burgers,Ice Cream & Frozen Yogurt,Fast Food",2.5,201 W University Ave ,,https://www.yelp.com/biz/culvers-urbana?osq=Restaurants
Culver's,"Burgers,Ice Cream & Frozen Yogurt,Fast Food",3.5,2302 S Neil St ,$,https://www.yelp.com/biz/culvers-champaign-2?osq=Restaurants
Culver's,"Burgers,Ice Cream & Frozen Yogurt,Fast Food",3.5,903 W Marketview Dr ,$,https://www.yelp.com/biz/culvers-champaign?osq=Restaurants
Curtis Orchard & Pumpkin Patch,"American (Traditional),Grocery,Organic Stores",3.5,3902 S Duncan Rd ,$$,https://www.yelp.com/biz/curtis-orchard-and-pumpkin-patch-champaign?osq=Restaurants
Dairy Queen,"Fast Food,Ice Cream & Frozen Yogurt",2.5,1501 Lyndhurst Aly ,$,https://www.yelp.com/biz/dairy-queen-savoy?osq=Restaurants
Dairy Queen,"Ice Cream & Frozen Yogurt,Fast Food",1.5,601 E Oak St ,$,https://www.yelp.com/biz/dairy-queen-mahomet-2?osq=Restaurants
Dairy Queen Grill & Chill,"Ice Cream & Frozen Yogurt,Fast Food",2,3602 N Mattis Ave ,$,https://www.yelp.com/biz/dairy-queen-grill-and-chill-champaign?osq=Restaurants
Dairy Queen Grill & Chill,"Fast Food,Ice Cream & Frozen Yogurt",4,911 W University ,$,https://www.yelp.com/biz/dairy-queen-grill-and-chill-urbana?osq=Restaurants
Denny's,"Diners,Breakfast & Brunch,American (Traditional)",2,702 W Town Center Blvd ,$,https://www.yelp.com/biz/dennys-champaign?osq=Restaurants
Derald's Cafe,Cafes,1,540 E Pennsylvania Ave ,,https://www.yelp.com/biz/deralds-cafe-champaign?osq=Restaurants
Derald's Diner,Diners,2,60 E Green St ,,https://www.yelp.com/biz/deralds-diner-champaign?osq=Restaurants
DESTIHL Restaurant & Brew Works,"American (New),Brewpubs",4,301 N Neil St ,$$,https://www.yelp.com/biz/destihl-restaurant-and-brew-works-champaign?osq=Restaurants
Dinng Room at Newman Hall,Breakfast & Brunch,0,604 E Armory ,,https://www.yelp.com/biz/dinng-room-at-newman-hall-champaign?osq=Restaurants
Domino's,Pizza,0,1404 Bluegrass Ln ,$,https://www.yelp.com/biz/dominos-champaign?osq=Restaurants
Domino's Pizza,"Pizza,Chicken Wings,Sandwiches",2.5,1108 N Cunningham Ave ,$,https://www.yelp.com/biz/dominos-pizza-urbana?osq=Restaurants
Domino's Pizza,"Pizza,Chicken Wings,Sandwiches",2.5,1702 W Bradley Ave ,$,https://www.yelp.com/biz/dominos-pizza-champaign-4?osq=Restaurants
Domino's Pizza,"Pizza,Chicken Wings,Sandwiches",3.5,1803 W Kirby Ave ,$,https://www.yelp.com/biz/dominos-pizza-champaign-2?osq=Restaurants
Domino's Pizza,"Pizza,Chicken Wings,Sandwiches",4,201 N Lombard St ,$,https://www.yelp.com/biz/dominos-pizza-mahomet-2?osq=Restaurants
Dos Reales,Mexican,4,1407 N Prospect Ave ,$,https://www.yelp.com/biz/dos-reales-champaign?osq=Restaurants
Dotty's Cafe,Cafes,0,12 E Green St ,,https://www.yelp.com/biz/dottys-cafe-champaign?osq=Restaurants
DP Dough,"Pizza,Fast Food",3,33 E Green St ,$,https://www.yelp.com/biz/dp-dough-champaign-2?osq=Restaurants
Dragon Fire Pizza,"Food Trucks,Pizza",4.5, ,$,https://www.yelp.com/biz/dragon-fire-pizza-champaign?osq=Restaurants
Dumpling Noodle BBQ,"Noodles,Barbeque,Chinese",3.5,715 S Neil St ,,https://www.yelp.com/biz/dumpling-noodle-bbq-champaign?osq=Restaurants
Edible Arrangements,"Chocolatiers & Shops,Salad,Juice Bars & Smoothies",4.5,49 E Marketview Dr ,$$$,https://www.yelp.com/biz/edible-arrangements-champaign?osq=Restaurants
Eighty Three,Vietnamese,0,401 N Broadway Ave ,,https://www.yelp.com/biz/eighty-three-urbana?osq=Restaurants
Einstein Bros Bagels,"Breakfast & Brunch,Bagels",4,803 W Anthony Dr ,$,https://www.yelp.com/biz/einstein-bros-bagels-champaign?osq=Restaurants
Einstein Bros Bagels,"Breakfast & Brunch,Sandwiches",3.5,901 W University Ave ,$,https://www.yelp.com/biz/einstein-bros-bagels-urbana-2?osq=Restaurants
El Oasis,"Ice Cream & Frozen Yogurt,Mexican",4.5,510 N Cunningham Ave ,$,https://www.yelp.com/biz/el-oasis-urbana?osq=Restaurants
El Patio,"Mexican,Salad,Steakhouses",3.5,2506 Village Green Pl ,$$,https://www.yelp.com/biz/el-patio-champaign?osq=Restaurants
El Progreso Tienda Y,"Mexican,Meat Shops",4.5,1017 W Bloomington Rd ,,https://www.yelp.com/biz/el-progreso-tienda-y-champaign?osq=Restaurants
El Toro At The Fields,Mexican,5,3401 Fields S Dr ,,https://www.yelp.com/biz/el-toro-at-the-fields-champaign?osq=Restaurants
El Toro Bravo,Mexican,3,2561 W Springfield Ave ,$,https://www.yelp.com/biz/el-toro-bravo-champaign?osq=Restaurants
El Toro Mexican Restaurant,Mexican,3,723 S Neil St ,$,https://www.yelp.com/biz/el-toro-mexican-restaurant-champaign?osq=Restaurants
Enzo Pizza,Pizza,0,300 S Broadway Ave ,,https://www.yelp.com/biz/enzo-pizza-urbana?osq=Restaurants
Espresso Royale,"Coffee & Tea,Cafes",4,2401 Village Green Pl ,$,https://www.yelp.com/biz/espresso-royale-champaign-6?osq=Restaurants
Esquire Lounge,"Pizza,Pool Halls,American (Traditional)",4,106 N Walnut St ,$,https://www.yelp.com/biz/esquire-lounge-champaign?osq=Restaurants
Everyday Kitchen Restaurant & Bar,"American (Traditional),Cocktail Bars",4.5,1807 S Neil St ,$$,https://www.yelp.com/biz/everyday-kitchen-restaurant-and-bar-champaign?osq=Restaurants
Evo Cafe,Chinese,2.5,711 S 6th St ,$$,https://www.yelp.com/biz/evo-cafe-champaign?osq=Restaurants
Farmhouse Restaurant At Harvest Market,"American (Traditional),Delis,Breakfast & Brunch",2.5,2029 South Neil St ,$$$,https://www.yelp.com/biz/farmhouse-restaurant-at-harvest-market-champaign?osq=Restaurants
Fat Sandwich Company,Sandwiches,3,502 E John St ,$,https://www.yelp.com/biz/fat-sandwich-company-champaign?osq=Restaurants
Fazoli's,Italian,3,2029 N Prospect Ave ,$,https://www.yelp.com/biz/fazolis-champaign?osq=Restaurants
Fernando's,"Mexican,Latin American",0,618 E Daniel St ,,https://www.yelp.com/biz/fernando-s-champaign?osq=Restaurants
Fernando's Food,"Food Trucks,Mexican",5,44 E Sprinfield ,$,https://www.yelp.com/biz/fernandos-food-champaign?osq=Restaurants
Fiesta Cafe,Mexican,3.5,216 S 1st St ,$$,https://www.yelp.com/biz/fiesta-cafe-champaign?osq=Restaurants
Filippo's Pizza and Italian Food of Mahomet,"Italian,Pizza,Sandwiches",3.5,2012 Tin Cup Rd ,$,https://www.yelp.com/biz/filippos-pizza-and-italian-food-of-mahomet-mahomet?osq=Restaurants
Firehouse Subs,"Sandwiches,Fast Food,Delis",3.5,803 W Anthony Dr ,$,https://www.yelp.com/biz/firehouse-subs-champaign?osq=Restaurants
First Wok,Chinese,4,1805 Philo Rd ,$,https://www.yelp.com/biz/first-wok-urbana?osq=Restaurants
Five Guys,"Burgers,Fast Food",2.5,901 B West Anthony Dr ,$,https://www.yelp.com/biz/five-guys-champaign?osq=Restaurants
FOUR,Breakfast & Brunch,3.5,401 E Green St ,,https://www.yelp.com/biz/four-champaign?osq=Restaurants
Franchise Management Systems,Restaurants,0,4102 Fieldstone Rd ,,https://www.yelp.com/biz/franchise-management-systems-champaign?osq=Restaurants
Freddy's Frozen Custard & Steakburgers,"Burgers,Ice Cream & Frozen Yogurt,Fast Food",3,420 W Towncenter Blvd ,$,https://www.yelp.com/biz/freddys-frozen-custard-and-steakburgers-champaign?osq=Restaurants
Game On Sports Tavern,Restaurants,0,121 E Market St ,,https://www.yelp.com/biz/game-on-sports-tavern-sadorus?osq=Restaurants
Garbanzo Mediterranean Fresh,"Mediterranean,Fast Food,Greek",3,1401 W Green St ,,https://www.yelp.com/biz/garbanzo-mediterranean-fresh-urbana-2?osq=Restaurants
Garcia's Pizza In A Pan,Pizza,3,313 N Mattis Ave ,$,https://www.yelp.com/biz/garcias-pizza-in-a-pan-champaign-2?osq=Restaurants
Godfathers Pizza,Pizza,0,1201 N Mattis Ave ,,https://www.yelp.com/biz/godfathers-pizza-champaign?osq=Restaurants
Golden Crab Seafood & Bar,"Cajun/Creole,Bars,Seafood",0,902 Meijer Dr ,,https://www.yelp.com/biz/golden-crab-seafood-and-bar-champaign?osq=Restaurants
Golden Harbor Authentic Chinese Cuisine,"Chinese,Taiwanese",4.5,505 S Neil St ,$$,https://www.yelp.com/biz/golden-harbor-authentic-chinese-cuisine-champaign?osq=Restaurants
Golden Wok,"Thai,Chinese",4,405 E University Ave ,$,https://www.yelp.com/biz/golden-wok-champaign?osq=Restaurants
Good Fella Korean Bistro,Korean,3.5,905 S Neil St ,$$,https://www.yelp.com/biz/good-fella-korean-bistro-champaign?osq=Restaurants
Grandma's Kitchen,Restaurants,0,214 S David ,,https://www.yelp.com/biz/grandmas-kitchen-sidney?osq=Restaurants
Great American Grill,American (Traditional),4,1501 S Neil St ,,https://www.yelp.com/biz/great-american-grill-champaign?osq=Restaurants
Great Steak,"Sandwiches,Cheesesteaks",3,2000 N Neil St ,,https://www.yelp.com/biz/great-steak-champaign?osq=Restaurants
Great Wall Chinese Restaurant,Chinese,0,1209 N Prospect Ave ,,https://www.yelp.com/biz/great-wall-chinese-restaurant-champaign?osq=Restaurants
